jobId,imageId,enhancedImageId,originalUploadUrl,summaryFinalStatus,stage,attempt,attemptUrl,result,reasonText,confidence,explicitValidatorScores
job_ca5862cc-ec89-4ca6-af7d-bc973927d991,img_b91f4e23-72b1-4148-be16-45d134bf2ce0,RE-42KXLK,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744595-realenhance-job_ca5862cc-ec89-4ca6-af7d-bc973927d991-1772069743771-jdjvqpflzc.jpg,unknown,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.555;PASS:0.555
job_ca5862cc-ec89-4ca6-af7d-bc973927d991,img_b91f4e23-72b1-4148-be16-45d134bf2ce0,RE-42KXLK,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069744595-realenhance-job_ca5862cc-ec89-4ca6-af7d-bc973927d991-1772069743771-jdjvqpflzc.jpg,unknown,stage2,1,unknown,unknown,unknown,unknown,FAIL:0.555;PASS:0.555
job_a9680740-4692-461a-80e9-2c9860f14c97,img_3b48ac64-e3f1-49b4-a33d-cd5b9d29779b,RE-MEE8VF,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746072-realenhance-job_a9680740-4692-461a-80e9-2c9860f14c97-1772069745767-8unvud9apxf.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.575;PASS:0.575
job_a9680740-4692-461a-80e9-2c9860f14c97,img_3b48ac64-e3f1-49b4-a33d-cd5b9d29779b,RE-MEE8VF,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746072-realenhance-job_a9680740-4692-461a-80e9-2c9860f14c97-1772069745767-8unvud9apxf.jpg,SUCCESS,stage2,unknown,unknown,unknown,unknown,unknown,FAIL:0.575;PASS:0.575
job_f92a6554-ed04-489b-8e15-736dc67d5d6d,img_9269f490-9130-427b-bf35-7e824e43c191,RE-HHKDHB,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746992-realenhance-job_f92a6554-ed04-489b-8e15-736dc67d5d6d-1772069746865-37ff1uiw6o3.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.544;PASS:0.544
job_f92a6554-ed04-489b-8e15-736dc67d5d6d,img_9269f490-9130-427b-bf35-7e824e43c191,RE-HHKDHB,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746992-realenhance-job_f92a6554-ed04-489b-8e15-736dc67d5d6d-1772069746865-37ff1uiw6o3.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069824952-realenhance-job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe-1772069746325-5nxq9b92wkv-canonical-1A-2.webp,PASSED,other,1.0,FAIL:0.544;PASS:0.544
job_1c552cd3-1089-415f-988e-cdd38750cdb7,img_e97e5d2c-7f58-47e7-a269-94b055574126,RE-U577XT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069748119-realenhance-job_1c552cd3-1089-415f-988e-cdd38750cdb7-1772069747983-m3vzj7n2ie.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.608;PASS:0.608
job_1c552cd3-1089-415f-988e-cdd38750cdb7,img_e97e5d2c-7f58-47e7-a269-94b055574126,RE-U577XT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069748119-realenhance-job_1c552cd3-1089-415f-988e-cdd38750cdb7-1772069747983-m3vzj7n2ie.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069774357-realenhance-job_1c552cd3-1089-415f-988e-cdd38750cdb7-1772069747983-m3vzj7n2ie-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T013615Z&X-Amz-Expires=86400&X-Amz-Signature=680238a347b1ea0348619a9cfb3c5d919ee91081e028c240b672e68562f57954&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,PASS:0.608;PASS:0.608
job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f,img_6924482b-ccfa-4c31-8129-223c97e82a87,RE-H8UKV8,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069749132-realenhance-job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f-1772069748990-c60xngsbb3.jpg,unknown,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.517;PASS:0.517
job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f,img_6924482b-ccfa-4c31-8129-223c97e82a87,RE-H8UKV8,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069749132-realenhance-job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f-1772069748990-c60xngsbb3.jpg,unknown,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069775951-realenhance-job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f-1772069748990-c60xngsbb3-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T013617Z&X-Amz-Expires=86400&X-Amz-Signature=3c4da2a89d9ca875cc5c1ae426724d2679d9b5297680569b0e93bd75444cd27e&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,FAIL:0.517;PASS:0.517
job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f,img_6924482b-ccfa-4c31-8129-223c97e82a87,RE-H8UKV8,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069749132-realenhance-job_23f9cb3f-879b-40bf-980f-8dbb8f7d277f-1772069748990-c60xngsbb3.jpg,unknown,stage2,1,unknown,unknown,unknown,unknown,FAIL:0.517;PASS:0.517
job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe,img_89957ed8-a5fc-45f2-a76f-fe7762e14d91,RE-QEPBAT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746452-realenhance-job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe-1772069746325-5nxq9b92wkv.jpg,unknown,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.537;PASS:0.517
job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe,img_89957ed8-a5fc-45f2-a76f-fe7762e14d91,RE-QEPBAT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772069746452-realenhance-job_ffaef1cb-a77e-42aa-b140-2041c2be7cfe-1772069746325-5nxq9b92wkv.jpg,unknown,stage2,unknown,unknown,unknown,unknown,unknown,PASS:0.537;PASS:0.517
job_e367f0e9-b982-4ddb-b21e-42785f31d2cd,img_c34b31db-8756-4f23-8bd1-fc2eb24a5656,RE-KRM2CF,unknown,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.749;PASS:0.749
job_e367f0e9-b982-4ddb-b21e-42785f31d2cd,img_c34b31db-8756-4f23-8bd1-fc2eb24a5656,RE-KRM2CF,unknown,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070353905-realenhance-job_e367f0e9-b982-4ddb-b21e-42785f31d2cd-1772070327848-1omtlzct3dp-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014555Z&X-Amz-Expires=86400&X-Amz-Signature=2fe0d49331f6cf63479cab6aa4352e42c8a700e2b338a84ece3af9dd83c471cc&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,unknown,unknown,PASS:0.749;PASS:0.749
job_90615d3a-fbde-4b75-ac61-1163443814f0,img_8bcef1ec-96e3-45df-b037-423038fdcd3f,RE-AC8N8R,unknown,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.674;PASS:0.674
job_90615d3a-fbde-4b75-ac61-1163443814f0,img_8bcef1ec-96e3-45df-b037-423038fdcd3f,RE-AC8N8R,unknown,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070352146-realenhance-job_90615d3a-fbde-4b75-ac61-1163443814f0-1772070323098-qihb792oniq-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014553Z&X-Amz-Expires=86400&X-Amz-Signature=6b09ce4eefd4942d54f667972337be9b7811281dfaa4256a066f0fdb5b2ff064&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,PASS:0.674;PASS:0.674
job_e5a47a7e-3c81-40da-b768-b4f1a957c169,unknown,RE-657JM6,unknown,unknown,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.715;PASS:0.715
job_e5a47a7e-3c81-40da-b768-b4f1a957c169,unknown,RE-657JM6,unknown,unknown,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070403604-realenhance-job_26273848-8bf0-4ea1-8dac-ba7dc4851538-1772070321475-k4mrp716m9-canonical-1A-2.webp,PASSED,other,1.0,PASS:0.715;PASS:0.715
job_4109862b-3fa8-4865-8070-9249660b4dfc,img_31ad60af-c41b-447f-bec0-a4e68d399906,RE-N69RGG,unknown,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.685;PASS:0.685
job_4109862b-3fa8-4865-8070-9249660b4dfc,img_31ad60af-c41b-447f-bec0-a4e68d399906,RE-N69RGG,unknown,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070404412-realenhance-job_e228c6f7-e9e8-4001-9c11-d82ce94e394e-1772070326084-skbjvlqltoa-canonical-1A-2.webp,PASSED,other,1.0,FAIL:0.685;PASS:0.685
job_4109862b-3fa8-4865-8070-9249660b4dfc,img_31ad60af-c41b-447f-bec0-a4e68d399906,RE-N69RGG,unknown,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070404412-realenhance-job_e228c6f7-e9e8-4001-9c11-d82ce94e394e-1772070326084-skbjvlqltoa-canonical-1A-2.webp,PASSED,other,1.0,FAIL:0.685;PASS:0.685
job_5cd8cda8-985d-4ef6-9be7-c86b1e9c6ad1,img_d806f827-f7ed-4ad2-a87a-f1946618b461,RE-E89GJF,unknown,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.675;PASS:0.675
job_5cd8cda8-985d-4ef6-9be7-c86b1e9c6ad1,img_d806f827-f7ed-4ad2-a87a-f1946618b461,RE-E89GJF,unknown,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070355438-realenhance-job_5cd8cda8-985d-4ef6-9be7-c86b1e9c6ad1-1772070329626-3d13k4ssy4i-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014556Z&X-Amz-Expires=86400&X-Amz-Signature=54ef5889c97e32a981b1e8732f5668aca5649b760ddeb0af615274fc10875292&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,unknown,unknown,PASS:0.675;PASS:0.675
job_26273848-8bf0-4ea1-8dac-ba7dc4851538,img_570d7259-2d46-4a93-855f-d976f478f523,RE-6DDN2P,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070322088-realenhance-job_26273848-8bf0-4ea1-8dac-ba7dc4851538-1772070321475-k4mrp716m9.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.701;PASS:0.701
job_26273848-8bf0-4ea1-8dac-ba7dc4851538,img_570d7259-2d46-4a93-855f-d976f478f523,RE-6DDN2P,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070322088-realenhance-job_26273848-8bf0-4ea1-8dac-ba7dc4851538-1772070321475-k4mrp716m9.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070351085-realenhance-job_26273848-8bf0-4ea1-8dac-ba7dc4851538-1772070321475-k4mrp716m9-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014552Z&X-Amz-Expires=86400&X-Amz-Signature=d54456c89adf0b0e09f9ce66dd1c5154a4557ff97bb18ffab19f2cd4b32d10b1&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,unknown,unknown,unknown,FAIL:0.701;PASS:0.701
job_e228c6f7-e9e8-4001-9c11-d82ce94e394e,img_13f00735-83d8-467f-92ad-83afd2a846c3,RE-UTSEPT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070326298-realenhance-job_e228c6f7-e9e8-4001-9c11-d82ce94e394e-1772070326084-skbjvlqltoa.jpg,SUCCESS,stage1B,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070412842-realenhance-job_8be95752-8e34-4df1-8081-76a8e68b21be-1772070325307-7m19rpaxzzm-canonical-1A-2.webp,PASSED,other,1.0,FAIL:0.705;PASS:0.705
job_e228c6f7-e9e8-4001-9c11-d82ce94e394e,img_13f00735-83d8-467f-92ad-83afd2a846c3,RE-UTSEPT,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070326298-realenhance-job_e228c6f7-e9e8-4001-9c11-d82ce94e394e-1772070326084-skbjvlqltoa.jpg,SUCCESS,stage2,unknown,unknown,unknown,unknown,unknown,FAIL:0.705;PASS:0.705
job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce,img_5f0793ed-1efd-42e0-9b54-0b247b5deebb,RE-282G6E,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070328837-realenhance-job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce-1772070328711-pilklbt7lw.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.699;PASS:0.699
job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce,img_5f0793ed-1efd-42e0-9b54-0b247b5deebb,RE-282G6E,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070328837-realenhance-job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce-1772070328711-pilklbt7lw.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070354624-realenhance-job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce-1772070328711-pilklbt7lw-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014555Z&X-Amz-Expires=86400&X-Amz-Signature=b2f5e5e5416bd040c7273cf513b93ea370347f927c82b68750f36ae7f4e4c5bf&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,1.0,PASS:0.699;PASS:0.699
job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce,img_5f0793ed-1efd-42e0-9b54-0b247b5deebb,RE-282G6E,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070328837-realenhance-job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce-1772070328711-pilklbt7lw.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070354624-realenhance-job_36e7ed27-0494-49cd-9a1c-9b8abd4059ce-1772070328711-pilklbt7lw-canonical-1A-2.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014555Z&X-Amz-Expires=86400&X-Amz-Signature=b2f5e5e5416bd040c7273cf513b93ea370347f927c82b68750f36ae7f4e4c5bf&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,other,0.95,PASS:0.699;PASS:0.699
job_8be95752-8e34-4df1-8081-76a8e68b21be,img_64a502b6-2093-4b11-afef-933ebdfd27db,RE-CAUT39,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070325554-realenhance-job_8be95752-8e34-4df1-8081-76a8e68b21be-1772070325307-7m19rpaxzzm.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,FAIL:0.593;PASS:0.573
job_8be95752-8e34-4df1-8081-76a8e68b21be,img_64a502b6-2093-4b11-afef-933ebdfd27db,RE-CAUT39,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070325554-realenhance-job_8be95752-8e34-4df1-8081-76a8e68b21be-1772070325307-7m19rpaxzzm.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070451860-realenhance-job_7b742590-0d52-40f0-99ab-5749e3eeb357-1772070324239-5d9o8epa8df-canonical-1A-1B.webp,PASSED,unknown,unknown,FAIL:0.593;PASS:0.573
job_7b742590-0d52-40f0-99ab-5749e3eeb357,img_9d5d78f3-ce34-4b58-a9ac-1fcc021bf2a4,RE-FHT6XU,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070324860-realenhance-job_7b742590-0d52-40f0-99ab-5749e3eeb357-1772070324239-5d9o8epa8df.jpg,SUCCESS,stage1B,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070375631-realenhance-job_7b742590-0d52-40f0-99ab-5749e3eeb357-1772070324239-5d9o8epa8df-canonical-1A-1B.webp?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=AKIA3Y3F4KBX2BYPOHVL%2F20260226%2Fap-southeast-2%2Fs3%2Faws4_request&X-Amz-Date=20260226T014617Z&X-Amz-Expires=86400&X-Amz-Signature=439c19c101d7575baca309d4ff504ba998792c354fa4bf1c24af5c38cb48e5d1&X-Amz-SignedHeaders=host&x-amz-checksum-mode=ENABLED&x-id=GetObject,PASSED,unknown,unknown,PASS:0.725;PASS:0.725
job_7b742590-0d52-40f0-99ab-5749e3eeb357,img_9d5d78f3-ce34-4b58-a9ac-1fcc021bf2a4,RE-FHT6XU,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070324860-realenhance-job_7b742590-0d52-40f0-99ab-5749e3eeb357-1772070324239-5d9o8epa8df.jpg,SUCCESS,stage2,1,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070826483-realenhance-job_1600c44e-1659-4bdf-b28f-5dd62dafd1f4-1772070781318-061ka26m0xq5-canonical-1A-2.webp,undefined,other,1.0,PASS:0.725;PASS:0.725
job_1600c44e-1659-4bdf-b28f-5dd62dafd1f4,img_83b337d0-d66d-4336-a370-686902c5c6d1,RE-DQCN6X,https://realenhance-bucket.s3.ap-southeast-2.amazonaws.com/realenhance/outputs/1772070781880-realenhance-job_1600c44e-1659-4bdf-b28f-5dd62dafd1f4-1772070781318-061ka26m0xq5.jpg,SUCCESS,stage1B,unknown,unknown,unknown,unknown,unknown,PASS:0.914;PASS:0.914
